Site ID,Site Name,Category,Year,Street Address,GPS Latitude,GPS Longitude,Short Summary,Full History,Key Facts,Blue Plaque Text,Primary Photo Filename,Additional Photo Filenames,Photo Credit,Sources,Captured By,Free/Paid,Notes
supply-store,Clarens Supply Store (Horeb Savemor),Heritage Site,1915,"Sias Oosthuizen Street Erf 420 (now 521), Clarens",-28.511635500650844,28.42551003574739,"The Clarens Supply Store is one of the oldest commercial sites in the village, dating back to 1915. For over a century, this location has served as the primary trading hub for local farmers and residents. Originally, the site included a lean-to on the side of the building that functioned as a blacksmith's shop and small carpentry workshop, highlighting the store's role in the early agricultural economy.","Historically, the store was a place of barter where farmers would exchange their crops for provisions. Mr. R. Sandler, a trader in the 1940s, was central to these exchanges. He owned the Supply Store from 1943 until Juan Frost took over in 1954, Over the years, the property underwent several consolidations, with Erf 420 and 520 merging into Erf 521 in 1990.

The store's history is populated by colourful local characters. During the 1970s, it was owned by Michael and Ruth Goldblatt and was known locally as ""Masjoten"" (the man with the short pants). In the 1980s, the store was run by Hans Oosthuizen, affectionately nicknamed ""Matshwala"" or ""Mafikizolo"" (the man who arrived yesterday) by the local community. His wife was known as ""Maspeed"" due to her thin build and quick pace.

The building has faced significant challenges, most notably in 1993 when it was badly damaged by a fire. Following the disaster, Riempies and Carla Claasen rented the property from Oosthuizen and oversaw its rebuilding. They restored the store and re-established it as a central retail point and petrol station, preserving its vital function for the town.

Today, the site continues to serve as the town's main grocery outlet, operating as Horeb Savemor. While the building has been modernized since the 1993 fire, it sits on the same historic foundations that have supported the commerce of Clarens since its founding years.","Built: 1915; Original function: Trading Store; First owner: Eduard C.D. Roos; Notable owners: R. Sandler (1943); Juan Frost (1954); Goldblatt family; Local nickname: Masjoten (Goldblatt era); Historic feature: Original blacksmith lean-to; Fire damage: 1993; Legendary clerk: ""Mafikizolo"" Hans Oosthuizen; Current business: Horeb Savemor",,img-supply-store.webp,,,,,Paid,trail=town #1
firkin,Firkin Pub & Grill (Serendipity House),Heritage Site,1930,"Cnr Main and Van Zyl Streets, Clarens (Erven 354 & 360)",-28.514032309060248,28.4214666838478,"The building was a landmark sandstone residence with a rich history of both family life and commercial enterprise. Built in the 1930s by Mr. J. van Reenen, the house is famous for its exceptionally thick walls—more than half a meter of solid, locally hewn sandstone. A stoep was added later, wrapping around two sides of the original vintage structure.","In the 1950s, the house was owned by Mr. J.C. Human, who operated a bakery from the premises. By the 1960s, the property had expanded its commercial footprint; a porch was added that encroached onto the municipal sidewalk, and a petrol pump was installed in front of what was then a small general shop. During this era, Main Street ran directly through what is now the Market Square.

The house returned to residential use for various periods, housing families such as the Van Zyls in the 1970s and Rev. Francois Brink in the mid-1980s. A major shift occurred in 1994 when the McRae family purchased the property. Recognising the growing tourism in the Eastern Free State, they transformed the residence into an information centre and coffee shop.

The name ""Serendipity"" was chosen to reflect the ""facility of making happy chance discoveries,"" a fitting description for a town becoming a major tourist destination. The coffee shop became a local favourite, serving savoury and sweet crepes, pancakes, and light meals. It was considered a significant acquisition for the town's tourism infrastructure at the time.

In 1996, the property was purchased by Rob Crowther and Giel Lindeque as part of a larger plan to create the Clarens Meander Centre. Today, Serendipity House remains a key historical and commercial feature at the corner of Main and Van Zyl, its thick sandstone walls still standing as a testament to 1930s craftsmanship.

Walter Siviter started the Grouse and Claret Restaurant and Pub in 2000 and restored the building to its current state. After Walter passed away, his son Richard owned the Pub until 2025.

Rudo Schwimm and Rick Fryer took over the lease in 2025 and started the Firkin Pub and Grill, which is a popular music venue today.","First owner: Mr. J. van Reenen; Year built: ~1930s; Wall thickness: Over 50cm; Former use: Bakery (1950s); Notable owners: The McRae family; Meaning of name: ""Happy chance discoveries""; Unique feature: Thick vintage sandstone walls; Historical detail: Former petrol pump site; Current use: Commercial/Meander Centre",,img-firkin.webp,,,,,Paid,trail=town #2
president-square,President Square & Naauwpoort Monument,Heritage Site,1896,Clarens Square (formerly Market Square),-28.514817256435734,28.421023283088502,"President Square sits at the heart of Clarens, once serving as a central open veld where Main Road originally passed through. Today, the square is defined by its manicured layout and the prominent Naauwpoort Monument, which features a black granite plinth that replaced its original sandstone base.","The square was established in 1912 as ""Market Square"" when the town was first laid out. The monument itself has a longer history, originally erected in 1896 on the farm Ararat to honour five burghers who died during an 1865 clash with Basotho warriors.

The battle occurred after a commando under Paul Kruger camped on the farm Ararat during a cold rainstorm. At three o'clock in the morning, Basotho warriors under Chiefs Lesoeana and Slanggaal launched a surprise attack on the un-laagered camp under the cover of darkness.

In 1962, during the town’s golden jubilee, the monument was dismantled and moved from the farm to the town square. At this time, the square was redesigned, the original main road was rerouted around it, and the area was renamed President Square in honour of Paul Kruger.

Today, the square and monument stand as the town’s most significant civic landmark. It remains a place of tribute and a primary gathering point for visitors exploring the historic centre of the village. In 2000 the square was named Clarens Square.",Original name: Market Square; Monument subject: Battle of Naauwpoort Nek; Date of battle: 29 September 1865; Commemorated: Five fallen burghers; Monument erected: 1896 (farm Ararat); Second unveiling: 9 November 1962; Unveiled by: State President C R Swart; Current name: Clarens Square,,img-president-square.webp,,,,,Paid,trail=town #3
die-spens,Die Spens (Erf 320),Heritage Site,1931,"Erf 320, Market Street West",-28.514410663962778,28.42059630922258,"This charming sandstone building, currently known as ""Die Spens,"" was originally built as a ""dorpshuisie"" or town house. Its construction is unique, featuring an outer shell of local sandstone blocks with an inner lining of raw clay bricks, providing excellent insulation against the Free State’s extreme temperatures.","The cottage was built in 1931 by Florence de Leeuw, who had purchased the two erven that same year. For many decades, it served as a private residence. In 1992, the property was purchased by Bruce Weyer, who undertook significant renovations, including enlarging the structure and adding the iconic stoep that now wraps around the entire building.

During the early 2000s, the building transitioned from a residence into a vibrant commercial and artistic hub. It famously housed Clarens Interiors and Clarens Metal Works. It also served as a gallery space for prominent local artists, including the Gibson Mokhachane Gallery and works by Erika Turvey.

The property has maintained its artistic and heritage appeal through various changes in ownership. In 2015, it was acquired by Archar Brownlee, and it is currently owned by Julia Brownlee. Its location on the western edge of the market square makes it a prominent feature for visitors exploring the village centre.

Today, the building is a well-known stop for tourists and locals alike. It hosts a delectable delicatessen ""Die Spens"". While its function has shifted from a simple cottage to a commercial space, its architectural integrity — particularly the original sandstone work and the added stoep — remains a highlight of Market Street West.",First owner: Florence de Leeuw; Year built: 1931; Construction material: Sandstone and clay brick; Wall composition: Raw clay inner bricks; Architectural feature: Wrap-around stoep; Former business: Clarens Interiors; Notable gallery: Gibson Mokhachane Gallery; Current owner: Julia Brownlee; Current name: Die Spens,,img-die-spens.webp,,,,,Paid,trail=town #4
old-library,Old Village Library & Municipal Office,Heritage Site,1919,"Erven 317 & 318, Market Street",-28.514710275821884,28.420271747530343,"This small, two-room sandstone building stands as a cornerstone of Clarens’ civic history. Built from locally hewn sandstone, it was originally erected to serve as the very first municipal office for the newly formed village. Its simple, sturdy design reflected the practical needs of the local government during the town’s early years.","The site was initially held by the Government Council Trust in 1913 before being formally handed over to the Municipality in 1919. For nearly five decades, it was the administrative heart of the town. In 1965, the municipality moved to its current, larger premises, and this small sandstone building began its long association with the village library.

Before moving into this building, the library was housed in a corrugated iron and wood structure on the corner of Main and Naude Streets. Once relocated to the sandstone office, it was managed by a dedicated Library Committee, including notable residents like Ray Morgan, Mrs. van Zyl, and Mike Goldblatt.

Helen Pretorius is perhaps the most well-known figure associated with the library, having run it for 23 years starting in 1985. During her tenure, the library became part of the Regional Library scheme, ensuring a rotating stock of fresh books for the community.

The building subsequently served as the Clarens Museum and information centre. Today, it houses the Community Arts and Crafts project, where local artists display traditional basketry and wrought iron work. It remains a beloved landmark on the town square, representing over a century of community service.",Primary material: Sandstone; Original function: First Municipal Office; Government handover: 1919; Library use: Moved here in 1965; Notable librarian: Helen Pretorius (1985–2008); Current function: Arts & Crafts Project; Structure size: Two-room building; Museum era: Used as Clarens Museum,,img-old-library.webp,,,,,Paid,trail=town #5
ou-slaghuis,Ou Slaghuis,Heritage Site,1920,"345 Van Zyl Street, Clarens",-28.513289199014913,28.420288125442127,"The Ou Slaghuis (The Old Butchery) is a striking example of Clarens's vernacular architecture, featuring thick sandstone walls and a corrugated iron roof. The building occupies a large stand on Van Zyl Street, reflecting the sturdy construction methods used to serve the early farming community. While the property has evolved, the exterior retains its historical character, including a decorated front door and original sandstone pillars. It stands as one of the original commercial buildings constructed in the village's early years.","The origins of the structure date back to the initial settlement of Clarens. Hermanus Pieters purchased the land in 1920 for fifty pounds, and local accounts suggest the building was constructed between 1920 and 1925. The construction is often attributed to the builder Gert van Zyl. As a village butchery, the site provided essential infrastructure in an era before refrigeration, making it a central hub for daily life alongside the post office.

For many years, the building was operated by local farmer Willy van Biljon, who was well-known for being one of the few residents to own a car. In the days before modern marketing, he would drive into town and send an employee running through the streets to announce the butchery was open for business. A specific window remains on one side of the building where Black residents were served, providing a physical record of the social history of that era.

The property remained within the Pieters family for decades, passing from Hermanus (who died in 1943) to his son H.B. Pieters and eventually to his grandchildren, David and Aletta, in 1978. Ownership then transitioned through Johan van Rensburg in 1984, A.T. Hartwig in 1990, Anmarie Mikula in 1991, and Quantum Leap Investments in 2001. After being owned by Pat van den Heever, the site was purchased in 2007 by artist Neil Moss and Mary Lane Moss, who transformed the sandstone structure into an art gallery.

Today, the Ou Slaghuis stands as a reminder of the working commercial fabric that defined early Clarens. Though it is now private property and must be appreciated from the street only, it remains a cornerstone of the village's architectural and social history. The Clarens Heritage Association continues to gather oral histories and archival material to preserve the full story of this sandstone landmark for future generations.","Built: c. 1920 – 1925; Materials: Sandstone, corrugated iron roof; Original use: Village butchery; First owner: Hermanus Pieters; Possible builder: Gert van Zyl; Notable feature: Original service window; Property size: 3011 square meters; Current use: Private property and gallery",,img-ou-slaghuis.webp,,,,,Paid,trail=town #6
clementines,Clementine's Restaurant,Heritage Site,1997,Corner Church & Van Reenen Streets,-28.51387909278704,28.420386355507794,"One of Clarens’s most beloved landmarks, Clementines Restaurant stands on the corner of Church and Van Reenen Streets in what was originally a South African Railways bus maintenance shed — a corrugated iron structure complete with an inspection pit and a trap door for servicing the buses underneath.","In 1992 Bruce Weyers acquired the old shed, and Jenny Roberts established Clarens Weavers there, giving the industrial space its first creative life. In 1997 Hugo and Anette Vyfer purchased the property, demolished the original shed, and redesigned it as The Buffalo Restaurant, which was run by Marie Verster.

In 1999 Wolfgang and Annie Bittner leased the building and opened a restaurant they named Clementines — a name that would become synonymous with fine dining in the village. They eventually purchased the property in 2003, and Wolfgang made further modifications to the front facade while retaining the building’s distinctive corrugated iron character. Tragedy struck when Annie died in a car accident, and Wolfgang gradually lost interest in the business.

In 2010 Shelley Tresidder (Horton) bought Clementines and has owned and run it ever since, continuing the tradition of exceptional food within the atmospheric iron-roofed dining room. Her husband Mark Horton joined the business in 2015. Today Clementines is as well known for its architecture as for its menu — the corrugated iron walls that once sheltered buses and mechanics now enclose one of the Free State’s most celebrated restaurants.",Original use: SA Railways bus maintenance shed; Inspection pit: Original feature — trap door for bus servicing; First reuse: 1992 — Bruce Weyers; Clarens Weavers (Jenny Roberts); Demolished & rebuilt: 1997 — Hugo & Anette Vyfer; The Buffalo Restaurant; Clementines opened: 1999 — Wolfgang & Annie Bittner (lease); Building purchased: 2003 — Wolfgang Bittner; Current owner: Shelley Tresidder (since 2010); Mark Horton joined: 2015; Structure: Corrugated iron retained from 1997 rebuild,,img-clementines.webp,,,,,Paid,trail=town #7
railway-building,The Railway Building (The Platform),Heritage Site,1928,"Erven 313 & 314, Church Street",-28.51414646982463,28.420040171397126,This historic railway building is characterised by its massive Oregon pine sliding doors and a loading bank used for heavy freight. The property still preserves its original waiting room and restrooms at the rear of the lot.,"Established as a hub for the South African Railways (SAR & H) bus service, this site served as the primary link between Clarens and the Bethlehem train station. The bus was a lifeline for the town, bringing in passengers, post, supplies, and farm implements twice weekly.

For many years, the depot was managed by Daniel ""Daan"" Burger, who offloaded parcels and milk cans. Local legend holds that Daan was often accompanied by a ghost on his short daily walk from his home on Van Zyl Street to the depot.

After the bus service ceased, the building found new life in the 1990s as a bookshop called Bibliophile, which later moved to the adjacent property. The old ticket office was eventually converted into a kitchen to facilitate the building’s next transformation.

Today, the goods shed functions as the dining hall for ""The Platform"" restaurant. It stands as a well-preserved example of early 20th-century transport infrastructure, continuing to serve as a gathering place for the community.",Original function: Bus stop and loading bank; Operating entity: SAR & H (Railway); Service frequency: Twice a week; Ticket cost: 25 cents; Key feature: Oregon pine sliding doors; Current use: The Platform restaurant,,img-railway-building.webp,,,,,Paid,trail=town #8
bibliophile,The Sagonsky/Sandler House (Bibliophile),Heritage Site,1918,311 & 312 Church Street,-28.514437323298058,28.419813922872223,"On erven 311 and 312 along Church Street stands one of Clarens’s earliest surviving houses, built around 1918 — just a few years after the village was proclaimed in 1912, when the first settlers were still establishing a community in this remote highland valley.","The house was originally associated with Sagonsky and Sandler, passing shortly afterwards to Harry Sandler alone. It was built with care and local materials: a sandstone foundation, walls of coursed rubble plastered with clay in the traditional manner of the early Eastern Free State, with Oregon pine floors and ceilings throughout the interior.

In 1996, Debra and Ken Stewart purchased the property and set about giving it new purpose. They also hired the derelict bus depot of SAS&H / SAR nearby and established a bookshop there — a modest beginning for what would become one of Clarens’s most beloved institutions.

After Ken Stewart’s death, Debra moved the bookshop onto the property itself. She had a new bookshop building erected using corrugated iron sheets salvaged from the original sheep shed of the farm Cornelia — an eclectic, characterful structure that visitors often describe as reminiscent of Pilgrim’s Rest.

The original house still stands on the property, its Oregon pine floors, ceilings and inner walls preserved much as they were a century ago. The property also retains a large orchard of old and rare apple varieties, an old wagon house, and corrugated iron shed at the back — quiet remnants of the property’s rural past. Together the house, the bookshop, the sandstone wall and the old orchard tell a story of continuity and reinvention.","First owners: Sagonsky & Sandler (1915); Harry Sandler (1917); Notable early owner: Corlia Roos (1946); Notable later owner: Panagiotus Aligianis (1991); Restored & repurposed: Debra & Ken Stewart (from 1996); Construction: Sandstone foundation, coursed rubble walls plastered with clay; Oregon pine floors and ceilings; Bookshop building: Red corrugated iron, from original sheep shed of farm Cornelia; Perimeter wall: Sandstone from Lake Clarens renovation (Marius Naudé’s farms)",,img-bibliophile.webp,,,,,Paid,trail=town #9
frost-house,Frost House,Blue Plaque Site,1920,264 Church Street (opp. police station),-28.51503306028405,28.419379144571852,Frost House at 264 Church Street is one of only two remaining corrugated iron buildings in Clarens still standing and occupied. Architect Jaap Boonstra believed it may originally have been a Victorian flat-pack structure built in the early 1920s — no original council plans survive to confirm the exact date.,"The Deeds Registry records a succession of owners: Van der Merwe (1914), Naude (1926), Luyt (1949), before Juan Max ""Jack"" Frost acquired it in 1974. Jack — a WWII RAF veteran, former racing car driver, and owner of the Clarens supply store — gave the house his name. He served on the Clarens Town Council and as deacon of the DR Church. By 1978, when artist Annetjie Muller sketched the house, it was still well maintained. After Jack sold in 1980 it passed through several hands and fell into serious disrepair.

In 2015 Adrian Smallpeice and Richard Pender bought the house with the specific aim of rescuing it from ruin. Working with architect Jaap Boonstra, they removed only two internal walls and retained the original timber windows, wooden floors, and vaulted ceilings. The footprint remains almost unchanged apart from a patio at the back.

The original wooden floor — nearly a century old — survived the years of neglect largely undamaged. The owners insisted that the builder Jacques Viljoen not sand it down, preserving its extraordinary patina. The village butcher ""Riempies"" donated the doorbell. The late Helen Boucher, a local farmer, designed the garden using grasses and plants transplanted from her farm wetland, with an indigenous hedgerow connecting the house to the surrounding landscape.","Address: 264 Church Street, Clarens; Built: ~Early 1920s (exact date unrecorded); Style: Victorian corrugated iron; Notable owner: Juan ""Jack"" Max Frost (1974-1980); Restoration: 2015 — Smallpeice & Pender; Architect: Jaap Boonstra; Status: Section 38, NHRA",,img-frost-house.webp,,,,,Free,trail=town #10; bp flag was true in source app data
